City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,Östersund,76,SE,1713758537,98,63.1792,14.6357,13.05,3.04
306,Maralal,100,KE,1713758538,89,1.0968,36.698,61.39,2.28
307,Poletayevo,100,RU,1713758539,75,55.0336,61.1138,57.25,9.28
308,Fenoarivo Be,0,MG,1713758540,80,-18.4333,46.5667,65.37,2.93
309,Hastings,8,GB,1713758541,88,50.8552,0.5729,39.34,14.88
310,Sovetskiy,89,RU,1713758542,80,61.3614,63.5842,30.99,10.09
311,Linares,94,CL,1713758543,70,-35.85,-71.6,59.25,14.38
312,Arrondissement de Nevers,3,FR,1713758544,95,46.9167,3.3333,28.8,4.56
313,Ukholovo,99,RU,1713758545,87,53.7929,40.4892,57.94,11.01
314,Songling,99,CN,1713758546,73,31.1933,120.7176,64.63,4.81
315,Malye Derbety,19,RU,1713758546,58,47.9547,44.6808,58.33,16.8
316,Nyurba,100,RU,1713758547,99,63.2842,118.3319,33.57,4.34
317,Olindina,75,BR,1713758548,98,-11.3667,-38.3333,73.51,5.08
318,Horta,100,PT,1713758549,78,38.5333,-28.6333,59.56,9.28
319,Jamaame,100,SO,1713758551,91,0.0697,42.745,77.05,6.24
320,Gatton,23,AU,1713758466,63,-27.55,152.2833,71.69,11.65
321,Pogar,100,RU,1713758552,89,52.554,33.2591,43.36,16.64
322,Noumea,100,NC,1713758423,84,-22.2763,166.4572,75.24,15.41
323,Giohar,100,SO,1713758554,80,2.7809,45.5005,78.58,6.08
324,Harstad,0,NO,1713758555,61,68.799,16.5293,27.21,10.49
325,Greymouth,84,NZ,1713758556,76,-42.4667,171.2,57.27,1.72
326,Boende,33,CD,1713758557,78,-0.2167,20.8667,72.34,2.82
327,Yambio,69,SS,1713758558,82,4.5721,28.3955,67.42,4.21
328,Béchar,6,DZ,1713758558,64,31.6167,-2.2167,55.56,6.87
329,Prainha,100,BR,1713758559,98,-1.8,-53.48,74.97,2.93
330,Hokuto,81,JP,1713758560,45,41.8848,140.639,58.77,3.83
331,Chinde,23,NP,1713758561,23,26.8418,88.0763,81.32,8.1
332,Tot'ma,100,RU,1713758562,65,59.9747,42.7642,48.87,12.68
333,Farim,33,GW,1713758563,65,12.4839,-15.2217,70.07,1.9
334,Safonovo,95,RU,1713758564,91,55.15,33.2167,50.13,10.04
335,Picos,100,BR,1713758565,71,-7.0769,-41.4669,78.6,1.9
336,Sonoma,4,US,1713758566,85,38.55,-122.9011,57.85,0.89
337,Yuzhno-Kurilsk,100,RU,1713758566,93,44.0306,145.8556,37.42,8.81
338,Tabou,96,CI,1713758567,90,4.423,-7.3528,79.02,6.11
339,Mili,51,MH,1713758568,83,6.0815,171.735,83.14,17.92
340,Assafarge,56,PT,1713758569,63,40.1525,-8.4381,52.02,5.37
341,Kourou,98,GF,1713758570,94,5.1552,-52.6478,76.44,0.96
342,Pontianak,97,ID,1713758571,69,-0.0333,109.3333,87.64,2.55
343,Cologne,72,DE,1713758572,64,50.9333,6.95,37.04,1.34
344,Aban,100,RU,1713758573,99,56.67,96.06,32.5,12.71
345,Nelson Bay,84,AU,1713758573,55,-32.7167,152.15,70.68,7.09
346,Chernomorskoye,92,UA,1713758574,83,45.5039,32.6997,51.96,8.63
347,Lorengau,100,PG,1713758575,64,-2.0226,147.2712,86.43,8.16
348,Saint-Paul,0,RE,1713758576,76,-21.0096,55.2707,80.24,1.28
349,Sambava,69,MG,1713758577,91,-14.2667,50.1667,77.25,6.17
350,Alma,100,CA,1713758578,68,48.5501,-71.6491,22.75,14.85
351,Todos Santos,0,MX,1713758579,66,23.45,-110.2167,69.91,5.95
352,Ouezzane,0,MA,1713758580,78,34.7971,-5.5822,48.88,4.41
